Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Source,Scraped At,Annualized Yield %
QQQY,2024-11-27,0.283,33.080002,weekly,yfinance,2025-08-11 19:58:17Z,44.48609162720123
QQQY,2024-12-05,0.231,33.310001,weekly,yfinance,2025-08-11 19:58:17Z,36.06124178741394
QQQY,2024-12-12,0.284,32.919998,weekly,yfinance,2025-08-11 19:58:18Z,44.86027004011361
QQQY,2024-12-19,0.231,31.610001,weekly,yfinance,2025-08-11 19:58:18Z,38.00063150899616
QQQY,2024-12-26,0.223,32.009998,weekly,yfinance,2025-08-11 19:58:19Z,36.226181582391845
QQQY,2024-12-31,0.239,30.860001,weekly,yfinance,2025-08-11 19:58:19Z,40.272195713797935
QQQY,2025-01-08,0.311,30.57,weekly,yfinance,2025-08-11 19:58:20Z,52.90153745502126
QQQY,2025-01-16,0.302,30.049999,weekly,yfinance,2025-08-11 19:58:21Z,52.25956912677434
QQQY,2025-01-23,0.227,30.440001,weekly,yfinance,2025-08-11 19:58:22Z,38.77792251058074
QQQY,2025-01-30,0.076,30.0,weekly,yfinance,2025-08-11 19:58:22Z,13.173333333333334
QQQY,2025-02-06,0.226,30.32,weekly,yfinance,2025-08-11 19:58:23Z,38.75989445910291
QQQY,2025-02-13,0.226,30.299999,weekly,yfinance,2025-08-11 19:58:23Z,38.78547982790363
QQQY,2025-02-20,0.198,30.42,weekly,yfinance,2025-08-11 19:58:24Z,33.84615384615385
QQQY,2025-02-27,0.194,28.389999,weekly,yfinance,2025-08-11 19:58:24Z,35.53363985676788
QQQY,2025-03-06,0.216,27.73,weekly,yfinance,2025-08-11 19:58:25Z,40.50486837360259
QQQY,2025-03-13,0.295,26.92,weekly,yfinance,2025-08-11 19:58:26Z,56.983655274888555
QQQY,2025-03-20,0.286,27.1,weekly,yfinance,2025-08-11 19:58:27Z,54.878228782287806
QQQY,2025-03-27,0.287,26.889999,weekly,yfinance,2025-08-11 19:58:27Z,55.50018800670094
QQQY,2025-04-03,0.275,25.23,weekly,yfinance,2025-08-11 19:58:28Z,56.67855727308759
QQQY,2025-04-10,0.249,23.34,weekly,yfinance,2025-08-11 19:58:28Z,55.47557840616967
QQQY,2025-04-17,0.299,23.639999,weekly,yfinance,2025-08-11 19:58:29Z,65.7698843388276
QQQY,2025-04-24,0.296,23.780001,weekly,yfinance,2025-08-11 19:58:29Z,64.72665833781925
QQQY,2025-05-01,0.181,24.59,weekly,yfinance,2025-08-11 19:58:30Z,38.275721838145586
QQQY,2025-05-08,0.187,24.85,weekly,yfinance,2025-08-11 19:58:30Z,39.13078470824949
QQQY,2025-05-15,0.187,25.540001,weekly,yfinance,2025-08-11 19:58:31Z,38.073608532748295
QQQY,2025-05-22,0.193,25.440001,weekly,yfinance,2025-08-11 19:58:31Z,39.44968398389607
QQQY,2025-05-29,0.189,25.43,weekly,yfinance,2025-08-11 19:58:31Z,38.647267007471484
QQQY,2025-06-05,0.191,25.629999,weekly,yfinance,2025-08-11 19:58:32Z,38.75146464110279
QQQY,2025-06-12,0.194,25.969999,weekly,yfinance,2025-08-11 19:58:34Z,38.844822443004325
QQQY,2025-06-18,0.194,25.559999,weekly,yfinance,2025-08-11 19:58:34Z,39.46792016697653
QQQY,2025-06-26,0.192,25.9,weekly,yfinance,2025-08-11 19:58:35Z,38.54826254826255
QQQY,2025-07-03,0.195,25.98,weekly,yfinance,2025-08-11 19:58:36Z,39.03002309468822
QQQY,2025-07-10,0.195,25.82,weekly,yfinance,2025-08-11 19:58:37Z,39.27188226181255
